header,author,publish_date,category,summary,text
At least 126 dead or missing in massive flooding and landslides in Philippines,"Daniel Bellamy
                  with AP","26/10/2024,17:48 GMT+2",Philippines,The number of dead and missing in massive flooding and landslides wrought by Tropical Storm Trami in the Philippines has reached nearly 130.,"President Ferdinand Marcos said on Saturday that many areas remained isolated and that rescue efforts were ongoing. Marcos, who inspected another hard-hit region southeast of Manila on Saturday, said the unusually large volume of rainfall dumped by the storm — including in some areas that saw one to two months’ worth of rainfall in just 24 hours — overwhelmed flood controls in provinces lashed by Trami. ""The water was just too much,” Marcos told reporters. “We’re not done yet with our rescue work,” he said. “There are still many areas that remained flooded and could not be accessed even big trucks."" His administration, Marcos said, would plan to start work on a major flood control project that can meet the unprecedented threats posed by climate change. Trami blew away from the north-western Philippines on Friday, leaving at least 85 people dead and 41 others missing in in one of the Southeast Asian archipelago’s deadliest and most destructive storms so far this year, the government’s disaster-response agency said. The death toll was expected to rise as reports come in from previously isolated areas. Dozens of police, firefighters and other emergency personnel, backed by three backhoes and sniffer dogs, dug up one of the last two missing villagers in the lakeside town of Talisay in Batangas province Saturday. A father, who was waiting for word on his missing 14-year-old daughter, wept as rescuers placed the remains of one person in a black body bag. Distraught, he followed police officers, who carried the body bag down a mud-strewn village alley to a police van. The man said he was sure it was his daughter, but authorities needed to do checks to confirm the identity of the villager dug up in the mound. In a nearby basketball gym at the town centre, more than a dozen white coffins were laid side by side, bearing the remains of those found in the heaps of mud, boulders and trees that cascaded Thursday afternoon down the steep slope of a wooded ridge in Talisay's Sampaloc village. More than five million people were in the path of the storm, including nearly half a million who mostly fled to more than 6,300 emergency shelters in several provinces, the government agency said. In an emergency Cabinet meeting, Marcos raised concerns over reports by government forecasters that the storm — the 11th to hit the Philippines this year — could make a U-turn next week as it is pushed back by high-pressure winds in the South China Sea. It was forecast to batter Vietnam over the weekend, if it doesn't veer off course. The government had shut down schools and government offices for the third day on Friday to keep millions of people safe on the main northern island of Luzon. Inter-island ferry services were also suspended, stranding thousands. Weather has cleared in many areas on Saturday, allowing clean-up work in most areas. Each year, about 20 storms and typhoons batter the Philippines, a Southeast Asian archipelago which lies between the Pacific Ocean and the South China Sea. In 2013, Typhoon Haiyan, one of the strongest recorded tropical cyclones, left more than 7,300 people dead or missing and flattened entire villages."
,,,,,
"Brussels, my love? Migrant return hubs - solution or scandal?",Méabh Mc Mahon,"26/10/2024,7:00 GMT+2","Brussels, My Love?","In this edition, we shed light on Italy's Albanian model for processing asylum seekers, and hear how the victory plan of Ukraine's President Zelenskyy went down in Brussels.","We are joined this week by Liza Bezvershenko from civil society organisation Promote Ukraine, Helena Hahn, migration analyst with the European Policy Centre and Vassilis Ntousas, senior manager for Europe at the German Marshall Fund. Panellists discussed the idea of return hubs, which would see the EU outsource parts of its migration policy to countries outside the bloc — one of the main outcomes of a European summit held in Brussels last week. ""It's not trivial but this is a topic that is being discussed,"" European Commission President Ursula von der Leyen has said of the plans, which would cover asylum seekers whose applications were rejected and aren't entitled to stay in the EU. ""I see a lot of political noise but no real answers"", Helena Hahn told the panel. Watch Brussels, my love? in the player above."
Israeli airstrike killed journalists covering the war in Lebanon as they slept,Euronews                      with AP,"26/10/2024,1:06 GMT+2",Lebanon,The Committee to Protect Journalists said it was appalled by the killing of the three journalists and called for an independent investigation.,"An Israeli airstrike hit guesthouses where journalists were staying in southeast Lebanon on Friday, killing three media staffers from two different news agencies according to Lebanon’s state-run National News Agency. It was a rare airstrike on an area that has been used by the media as a base for covering the war. The airstrike turned buildings used by media outlets covering the war into rubble with cars marked “PRESS” being overturned and covered in dust and debris. The Israeli army did not issue a warning prior to the strike, which it said targeted Hezbollah militant infrastructure. The military later said the strike was being reviewed. Several journalists have been killed since a near-daily exchange of fire began along the Lebanon-Israel border on October 8, 2023. Lebanon’s health ministry says the total toll over the past year is over 2,500 killed and 12,000 wounded with 1.2 million Lebanese people reportedly driven from their homes, including 400,000 children, according to the United Nations. Two people in Israel died of their wounds after a rocket attack from Hezbollah militants in Lebanon on Friday, the country’s rescue services said. Rocket shrapnel hit the Israeli town of Majd Al-Krum, with a further seven people being injured. Militants in Lebanon fired 45 projectiles into Israel on Friday. Some were intercepted by Israel’s air defences whilst others reportedly fell into open areas. Earlier on Friday, Israeli attack on the Gazan city of Khan Younis left at least 38 people dead. The strikes came a day after US Secretary of State Antony Blinken said that Israel had accomplished its objective of “effectively dismantling” Hamas and urged both sides to resume negotiations. During his visit to Qatar, he expressed hope for the revival of ceasefire talks between Israel and Hamas in the coming days. Israel’s offensive in Gaza has killed over 42,000 Palestinians according to local health authorities."
At least one killed and several injured after Russian drone attack on residential Kyiv building,Euronews,"26/10/2024,0:07 GMT+2",Ukraine,Kyiv mayor Vitali Klitschko said a teenage girl was killed in the late-night Russian attack.,"At least one person was reportedly killed and five injured after a Russian drone hit a 25-story residential building in Kyiv on Friday night. Emergency responders were dispatched to the site of the attack to fight a fire which broke out on the upper floor of the building due to the strike. The fire was extinguished but a search and rescue operation continued, according to Kyiv’s major Vitali Klitschko. Klitschko said one of the five injured was sent to hospital and that a first aid tent was set up at the site. Ukraine’s Emergency Service say the attack damaged several apartments in the building with around 100 people being evacuated after the drone struck. “Apartments from the 17th to the 21st storeys were damaged in the apartment building in Solomyanskyi district,” Serhiy Popko, head of the Ukrainian capital’s military administration wrote on Telegram, “Apartments were on fire on the 20th floor.” Prior to the attack, local media report an air alert had been sounded in Kyiv and other Ukrainian regions due to a mass Russian drone attack – a near-daily occurrence in Ukraine for over a month. Air defence units were reportedly deployed during the hour-long air raid alert."
,,,,,
The year of elections: What can Trump learn from Europe as he fights for Gen-Z voters?,Boyd Wagner,"25/10/2024,18:26 GMT+226/10/2024,9:43 GMT+2",World,"National Rally and AfD, once unacceptable to young voters, have managed to reach them and win them over with savvy social media strategies.","It's been dubbed ""the year of the election"". Throughout 2024, democracies across the west have seen millions of voters cast votes already this year — and on 5 November, the world’s oldest continuously operating democracy, the US, will elect a president, the entire House of Representatives and one-third of its Senate. With many of the same issues attracting the focus of politicians, parties and voters on both sides of the Atlantic, Euronews asks: What can Europe’s myriad elections in 2024 tell us about the upcoming vote in the US? This past April, as the European Parliament elections were ramping up, Germany’s 66-year-old chancellor, Olaf Scholz, created a TikTok account. After years of ignoring the fast-growing Chinese social media platform, the German leader joined TikTok in hopes of gaining support with Germany’s younger voters. “Go where the citizens are and inform them there,” was the rationale laid out by government spokesperson Steffen Hebestreit. TikTok is the largest online platform for members of now-voting eligible Generation Z. More than 70% of “Zoomers” worldwide use TikTok, far outstripping the general population. And the platform has been key to the growth of various far-right parties throughout Europe, including Germany’s Alternative for Germany (AfD) and France’s National Rally (RN). Keen to improve its image with Germany’s youth, AfD has worked tirelessly to become TikTok’s most active political party in Germany, and controversial party leaders including Maximilian Krah have gained large followings over the past year by posting short videos with a large reach. With June’s EU vote and a series of German state elections now in the rearview mirror, it appears the strategy worked. In June, AfD grew its share with voters 16-29 years old by 11 points compared to the 2019 EU elections — and in September’s regional election in Thuringia, 38% of voters under 25 years of age voted for AfD, more than double the result of the age group's second choice of party, Die Linke. In France, meanwhile, a similar rightward trend among young voters is coming into view. Marine Le Pen’s young protégé, RN leader Jordan Bardella, is another keen user of social media, and his profile was crucial to RN’s growth in 2024. With 2 million TikTok followers, Bardella is the third most followed French politician on the platform, trailing only President Emmanuel Macron (5 million) and left-wing firebrand Jean-Luc Mélenchon (2.6 million). But the devil is in the detail, and Bardella’s account has more likes and higher engagement rates than his competitors. Once viewed as too extreme to govern, RN has benefited from a combination of strategic rebranding as well as the age-old factor of time, and its relative successes in 2024 have clearly been bolstered by a surge in support among French youth. Despite the party’s controversial history and connections to past fascist movements, many young French voters see RN as an alternative to the status quo of Macron’s liberal coalition or the smattering of left-wing parties that comprised the National Popular Front in this summer’s parliamentary vote. In June’s EU elections, RN achieved a historic percentage of the youth vote en route to their largest-ever allotment of MEPs. Exit polls showed that the far-right party gobbled up 32% of the under-35-year-old vote, while Macron’s coalition achieved just 5% of it. In the subsequent snap election for French parliament, RN found similar success with voters under 35. Like AfD, RN achieved this success partially by tailoring social media messaging for younger audiences, a strategy that allowed them to structure their ideological messages in a way that connected to younger voters. In essence, TikTok became a tool to shape existing narratives into a message that connected with the issues plaguing many of Europe’s young people. One of AfD’s most common campaign themes over the past year has been “peace in Europe”. Critics in Germany and across Europe have lambasted the German party for being pro-Russian. Yet AfD’s leaders have successfully used TikTok and other social media platforms to argue that young people's lives are being made harder because Germany’s government and establishment parties are focusing instead on non-German issues such as Russia's full-scale invasion of Ukraine. European-wide issues, such as the housing crisis, stagnant wages and poor job opportunities, were wrapped into a singular message that if peace in Europe can only be achieved, then young voters' immediate problems could be fixed. The same tactic was used to campaign on migration, which both AfD and RN connected to the many obstacles in young voters' lives. In 2019, climate change and environmental concerns drove many young European voters to support green and liberal parties across the EU. But while a study by the Institute for Global Affairs shows that environmental issues remain a top priority for younger voters, the lines are less clear than they were five years ago. Today, “poor decision-making by the political elite” has risen to become younger voters' second-biggest concern — followed by migration. This shift has presented a unique opportunity for Europe’s right, signalling that younger voters have become increasingly diverse in their priorities. It's not just France and Germany showing this trend. In the Netherlands, Greet Wilders and his Freedom Party increased the youth vote by 7% in their election win last year. In Portugal, far-right party Chega jumped to a comfortable third-place position in Lisbon’s Parliament, partially riding a social media-driven campaign geared towards younger voters upset with the establishment. Far-right parties from Spain to Finland have also enjoyed greater-than-normal levels of support from young voters. With establishment centrist or left-wing parties still in control in many capitals across Europe, including Brussels, the shift is unlikely to stop. If confidence continues to wane in Europe’s governments, far-right parties will continue to present an alternative for young voters seeking a change to the status quo. Citizens of the US face many of the same key issues as their counterparts in Europe, with housing costs, stagnant pay and inflation have all created major issues for younger voters. And US strategists on both sides of the aisle have recognised this. For the last 60 years, the US youth vote has reliably gone to the Democrats. In many elections, Democratic campaigns have depended on driving up the under-35 demographic to win narrow outcomes. That much was true in 2020, Joe Biden won the youth vote by a margin of 61-36 — an 11-point improvement on Hillary Clinton’s result in 2016. Given the narrowness of the 2020 result, high youth turnout for Biden arguably won him the election. This year looked more difficult. Before the president dropped out of the race in July, a smattering of polls conducted between May and July showed Biden still leading Trump among the youngest voters, but only by small margins; one PBS poll from June even showed Trump ahead of Biden when including other candidates, such as RFK Jr (now no longer running) and the Green Party's Jill Stein. The numbers were jarring for the Democrats, and may have played a role in convincing the president to step down from his re-election bid. Since accepting the Democratic nomination in the summer, Kamala Harris has made strides in recapturing young voters. A new CNBC poll shows that Harris is back to leading with voters under 34 by a 20% margin, 60%-40% — numbers more in line with the 2020 result. However, data for young voters tends to be more variable and less reliably predictive than with other demographics, and that has thrown up conflicting polling results. According to a September SurveyUSA poll, Trump held a four-point advantage with Gen-Z voters, beating Harris 50-46. And in the key swing state of Arizona, where Biden won an ultra-narrow victory in 2020, Harris is struggling with the youth demographic. A recent New York Times/Siena College poll found her leading Trump by just 9% with voters under 30 in the state — and the same poll put Trump ahead by 5 points in the state as a whole. The tightening youth vote shows an ongoing trend reminiscent of Europe. As young European men lead the shift right, the trend is even more noticeable in the US. While the US' young women remain strongly liberal, driven largely by the crucial issue of abortion rights, young men are growing more conservative. In 2022’s midterm elections, Gen-Z women voted Democratic at a 72% rate. In that same election cycle, Gen-Z men split almost evenly, with 52% voting for the Democrats. The Trump campaign sees the trend. In recent months, the former President has made guest appearances on an array of podcasts with audiences comprised largely of young men. This week, it was announced that Trump would be a guest on Joe Rogan’s podcast. Rogan is a culturally important figure, especially for many young men, with over 11 million listeners per episode. Still, the path to winning “Zoomers” remains an uphill battle for the Republicans. Unlike Europe’s left, Harris and the Democrats lead the battle on social media, especially TikTok. Despite major investments made by Trump’s campaign, the former president remains less popular there: negative-Trump posts on the platform outweigh negative-Harris posts by a 2-to-1 margin, according to Pew Research, while 55% of US TikTok users identify as Democrats and just 39% as Republicans. However, in an election that could come down to just a few thousand voters in a handful of states, every vote matters. And if the trend we saw in Europe continues in the US, Trump may only need to peel 5-15% of Gen-Z voters away from the left to shift the outcome in his favour. This is part two of a two-part series where Euronews explores the similarities between Europe and America’s 2024 elections. Read the first part on how European elections highlighted voter dissatisfaction and a shift towards anti-establishment parties, a trend that could influence the US elections, here."
Springsteen blasts Trump while Beyoncé expected at today’s Democrat rally in Texas,David Mouriquand,"25/10/2024,10:38 GMT+211:22",Culture news,"Beyoncé is reportedly heading to Houston to take part in today's rally for Kamala Harris. Last night, Bruce Springsteen played at a Harris rally in Atlanta, and called Trump a tyrant - echoing the recent comments made by General John Kelly, who said that Trump fits the definition of a fascist.","Following a greatest hits performance from Bruce Springsteen at Kamala Harris’ rally in Atlanta last night, only days after publicly endorsing her, Beyoncé is expected to appear today in her hometown of Houston at a rally for Harris. Harris' presidential campaign has taken on Beyonce's 2016 track 'Freedom' as its anthem, and the singer's planned appearance brings a high-level of star power to what has become a key theme of the Democratic nominee’s bid: freedom. Harris heads to the reliably Republican state today just 10 days before Election Day in an effort to refocus her campaign against Donald Trump on reproductive care. Harris’ Houston trip is set to feature women who have been affected by Texas' restrictive abortion laws, which took effect after the Supreme Court overturned Roe v. Wade in 2022. Harris has centered her campaign around the idea that Trump is a threat to American freedoms, from reproductive and LGBTQ rights to the freedom to be safe from gun violence. At yesterday’s rally, Springsteen slammed Donald Trump: “I want a president who reveres the Constitution, who does not threaten but wants to protect and guide our great democracy, who believes in the rule of law and the peaceful transfer of power, who will fight for a woman’s right to choose, and who wants to create a middle-class economy that will serve all our citizens.” He added: “There is only one candidate in this election who holds those principles dear: Kamala Harris. She’s running to be the 47th president of the United States, Donald Trump is running to be an American tyrant. He does not understand this country, its history, or what it means to be deeply American. That’s why on November 5th, I’m casting my vote for Kamala Harris and Tim Walz.” Springsteen’s tyrant comment echoes deeply at the moment, especially after the recent comments made by General John Kelly, who served under Trump as his chief of staff. Kelly said in a New York Times interview that Trump fits the “general definition of a fascist” and confirmed the Republican candidate's fascination with Adolf Hitler. ""He commented more than once that, 'You know, Hitler did some good things, too.'"" In a separate interview with the Atlantic, Kelly described how Trump demoaned that he did not have generals who were loyal in the way he believed military commanders had been to Hitler. His statements have propelled the issue of fascism to the forefront of the US presidential election, with Kamala Harris amplifying Kelly’s comments during a CNN town hall meeting. She said that it was “deeply troubling and incredibly dangerous” that he would “invoke” Hitler, and later told moderator Anderson Cooper that she agreed that Trump was a fascist. Trump hit back at Kelly on his Truth Social platform by calling him a “degenerate” and a “low life”, while also inaccurately accusing Harris on X of calling him Adolf Hitler, when it was Kelly who made the direct reference. His X post accusing Harris of “going so far as to call me Adolf Hitler, and anything else that comes to her warped mind”, because, he claims, polls indicate she is losing, has received more than 28 million views as of writing. Beyoncé is expected at Harris' Houston rally today, while Bruce Springsteen is next scheduled to appear at Harris’ Philadelphia rally on Monday 28 October."
Kamala Harris and Barack Obama target black voters in key battleground state of Georgia,"Emma De Ruiter
                  with AP","25/10/2024,9:32 GMT+2",USA,Polls show a state that gave Joe Biden one of his most dramatic wins in 2020 is now neck-and-neck.,"US Vice President Kamala Harris held a star-studded rally in the swing state of Georgia on Thursday, bringing with her former president Barack Obama to argue that another Trump presidency is more dangerous than many voters realise. Harris hopes to win over the state's black voters, among whom polls have shown she may be losing some support — in particular with men. The vice president implored Georgia voters to consider the “brutally serious” implications of Trump winning a second term in the White House, attacking former president Donald Trump by comparing him to the “predators, fraudsters and repeat offenders” she prosecuted early in her career. “I took them on and I won,” Harris said. ""Well, Georgia, in 12 days, it’s Donald Trump’s turn."" Harris also said that while her Republican opponent is focused on himself and his ""enemies list"", she is focused on the day-to-day needs of the American people. “It’s either Donald Trump in there stewing over his enemies list, or me working for you, checking off my to-do list. You have the power to make that decision.” Joe Biden won Georgia in the 2020 presidential election, becoming the first Democratic presidential candidate to carry the southern state since Bill Clinton in 1992. Trump fought hard to overturn Biden's victory, including by pressuring state officials to ""find"" enough votes to flip it his way. The effort failed, and he is now facing a criminal indictment alleging that he and 18 co-defendants conspired to illegitimately to alter the outcome. Harris’ campaign is hopeful she can keep the state blue in 2024, with polls showing her and Trump in a neck-and-neck contest. Harris also shared the stage with Barack Obama for the first time since the start of her campaign. Obama again mocked Trump for selling Bibles and watches, suggesting he was like an older relative in need of intervention. “Hey, have you noticed grandpa, he’s acting kind of funny out there?” Obama said. But Obama said that even though people may no longer take Trump’s behaviour seriously, he poses a danger. He added that a second Trump term would be “four years of a wannabe king, a wannabe dictator running around trying to punish his enemies”. “My question to you, Georgia, is how is that going to help you?” Obama asked. Harris too emphasised that Trump is a potential danger to American democracy, a theme that she and the Democrats have been hitting harder as the former president's rhetoric turns darker and the election begins to loom. “Someone who says we should terminate the Constitution of the United States of America should never again stand behind the seal of the president of the United States of America,” Harris said. “Never again.” Harris and Obama were joined in Georgia by an ensemble of big names including Bruce Springsteen, who performed in the first of the Harris campaign’s “When We Vote We Win” concert series."
"Euroviews. 
            
		Russia wants the world divided and in conflict. NATO cannot let this happen","Matas Maldeikis, Lithuanian MP, Deputy Chair of Future Committee, European Affairs Committee member","24/09/2024,17:43 GMT+2",Europe Decoded,"Russia wants to keep NATO solely focused on the developments in Ukraine, making us oblivious to his imperialist plans elsewhere, Matas Maldeikis writes.","Lithuania has been steadfast in its support for Ukraine. It remains in the top three largest donors by GDP of all NATO nations and its people understand more than most the threat Russia represents. Since the fall of the Soviet Union, we have witnessed Russia becoming progressively authoritarian under Vladimir Putin’s leadership. His objectives remain the same as under the former communist bloc: disrupt, expand and influence. These geopolitical games for power are being played beyond Europe, including in the nations of the ""Global South"". Putin hopes that by pressuring these rapidly developing countries, he can create new diplomatic rifts between them and the West. With division comes an opportunity for Putin to split global support against his invasion of Ukraine and build a new network of Russian client states. The fragile nation of Libya is the most prominent example of this and the launchpad for much of Russia’s campaign in sub-Saharan Africa. Since the fall of Muammar Gaddafi in 2011, Libya has struggled to find a democratic footing. Conflict constantly looms between rival governments and strongmen vying to control Libya’s abundant oil and gas resources. Russia has taken advantage of this instability and has increased its engagement with the predominant strongman in the east of the country, General Khalifa Haftar, who leads a large militia known as the Libyan National Army (LNA). To realise this ambition of a Libyan client state under the Haftar clan, Russia has reinforced Haftar’s nefarious activities, including fuel smuggling and currency printing and has commenced discussions to escalate the military partnership through a Russian nuclear submarine base at the port of Tobruk. Not only do these developments pose direct economic threats to European energy assets and supplies, but they also present military threats, as the Mediterranean will be opened to Russian forces. As a nation, Libya is of key strategic import to Putin. He sees its proximity to southern European states like Italy and Spain and knows influence over important energy resources can be used to leverage European energy and foreign policy. Libya remains the starting point for most migration journeys into Europe — something further conflict in the country will only increase. Combined with its wealth of resources, Libya could not be a more attractive platform for Russia to base its operations in Africa, and connect them with supply routes in Syria. Libya has proved to be an ideal funnel for Putin to insert his Russian mercenaries, driving Russian proxy forces into the heart of Africa. Sudan, Mali and other Sahelian states have all felt these repercussions as Russian fighters, bent on mayhem, are let loose alongside militias, juntas and rebel forces. This game plan is already delivering returns in countries such as Niger and Mali, whose upstart military governments have also recently severed ties with Ukraine. To expand this corridor of chaos in Libya, Putin has looked to hold sway over important national institutions. The National Oil Corporation (NOC), under Chairman Ferhat Bengdara, is continuing to succumb to the corruption enabled by the divisions in the country, with billions of dollars of public funds still unaccounted for, helping drive the much relied upon Libyan oil industry into the ground. In the past few weeks, an escalation from Haftar’s forces has brought new uncertainty to European energy security as vast oil fields like El Sharara are blockaded and closed by his LNA, with a slow and limp verbal response from his allies in the NOC. As more of Libya falls under the influence of Haftar, there is a real prospect of it becoming a vassal state for Putin. Russia wants to keep NATO solely focused on the developments in Ukraine, making us oblivious to his imperialist plans elsewhere. NATO must remain united in the face of growing energy security challenges and work collectively in our ambitions to support efforts against these geopolitical games. Only then can we ensure that Russia feels the full force of international sanctions and that our allies in Ukraine are successful. Matas Maldeikis is Deputy Chair of Future Committee and member of the European Affairs Committee in the Lithuanian Seimas. At Euronews, we believe all views matter. Contact us at view@euronews.com to send pitches or submissions and be part of the conversation."
'HomEage': Fin DAC celebrates his creative influences in new half-and-half portrait series,Theo Farrant,"23/10/2024,14:00 GMT+2",Art,"Fin DAC is set to unveil his latest show, featuring half-and-half portraits that blend his unique style with the iconic aesthetics of influential artists like Yayoi Kusama, Pablo Picasso and Jean-Michel Basquiat.","David Bowie once said: ""The only art I'll ever study is stuff that I can steal from."" It’s a cheeky quip, but there’s a grain of truth to it: all art borrows, bends, and blends. And no one’s owning this notion better right now than Fin DAC. While many creatives try to sneak in their influences and hope no one notices, the Cork-born, London-based artist is putting them front and centre in his latest project, HomEage. The series features striking ""half-and-half portraits"", fusing his signature aesthetic with that of the legends who have shaped him, from the likes of Pablo Picasso, Andy Warhol to Frida Kahlo and Sex Pistols artist Jamie Reid. ""The artwork is split down the middle, with the second half repainted in the style of another artist. It looks like two different versions or personalities of the same character,"" explained DAC from his studio in Mile End, London. He added: ""With this project, there’s no hiding - it's all out there. It’s meant to celebrate those influences and those artists."" Renowned for his larger-than-life outdoor street murals that can be found all over the world, HomEage marks DAC's first solo show since 2021, and is being held in at London’s St Martins Lane crypt gallery on 25 and 26 October. The project is also available in book form from the West Contemporary Editions website. Euronews Culture sat down with DAC before the show's unveiling to discuss everything from his journey to becoming a full-time artist at 40, the impact of AI in the art world, and his creative process for creating gigantic murals. Euronews Culture: How did you become a full-time artist? Fin DAC: My career as an artist started super late, when I was around 40. I had just come out of a fairly stressful relationship, and I essentially wanted something to take my mind off what I was going through at the time. I used to draw as a child, and I have memories of being alone in my room, completely content just doing that. So I thought, okay, if I start to draw and paint, that might give me that kind of meditation or therapy. And it’s true - it silences the world completely. Painting seemed like an easy route to take. Even if I didn’t become a full-time artist, it didn’t matter. I was content in my job as a web designer and developer at the time. But once I really got into painting, it snowballed quickly; I became a full-time artist within 2 or 3 years. Tell us more about your latest project 'HomEage'. It’s essentially about split personalities. The artwork is split down the middle, with the second half repainted in the style of another artist. It looks like two different versions or personalities of the same character. It started as an interim project back in 2020 during the first pandemic lockdown in California. Being away from home and not seeing my family made me think a lot about home. The first four pieces I created focused on artists who inspired me and were my favorites. Once those were done, I found the process so interesting that I kept going over the last few years. The second batch of four focused specifically on New York artists from the 1980s, like Warhol, Basquiat, and Haring - everyone knows their names, even if you’re not into art. I kept adding more and more names to the list. Many artists pretend they’ve come up with everything themselves, but nobody does that anymore. Everybody takes influence from somewhere; it’s just about how well you can hide where those influences come from. With this project, there’s no hiding - it's all out there. It’s meant to celebrate those influences and those artists. I wanted to see if I could incorporate both our styles in some magical way. I’m not sure I succeeded, but I gave myself the opportunity to learn. The show is being presented in an underground crypt. What’s the significance of that? That decision was made by West Contemporary, who are hosting the exhibition. We wanted to find an old venue with a history because this is an art history project at its essence. We aimed to find a location that fed into the concept of history and the idea that this old building is now being reused for something completely different from its original purpose. It’s taking on another character, which is essentially what I’m doing with the artworks - creating another character. What do you hope audiences take from this exhibition? Honestly, I don’t know. We’re really doing the exhibition just so people can view the works. The way I’ve run my career would be considered at odds with how most artists approach theirs. I’m not particularly interested in doing shows or in gallery representation. I don’t care about being shown at Basel or Frieze Art Fair; it’s just not on my list of priorities. If it happens, great, but essentially everything I do is according to how I want to do it, and hopefully, people will follow along for the ride. You’re renowned for your large-scale murals. How has it been focusing on smaller-scale canvases and paper? Honestly, the bigger pieces are easier. When painting a piece for a gallery, I know someone is going to get very close to it, so I have to be much more of a perfectionist compared to a wall mural. Generally, with a wall, people aren’t looking at the details; they’re impressed by the whole thing. They’ll take a photo, post it on Instagram, and that’s enough for them. Once you get over the technical aspect of scaling the image up, which street artists have mastered over the years, I find it easier and much more enjoyable. How would you describe your style and the aesthetics of your work? I call it ""urban aesthetics,"" which is more of a label. This term originates from a group of creatives in the early 20th century who believed that art and design should focus solely on beauty rather than socio-political commentary. When I began painting, most of the surrounding work had a Banksy-esque style - socio-political commentary, political jokes, and so on. I didn’t want my work to be that way. When I learned about the aesthetics movement, their motto resonated with me because I want my art to focus on portraiture and beauty, depicting women as they might have been represented throughout art history. The mask is a recurring theme in your work. What's its significance? I can’t tell you that. Or I’d have to kill you... No, there are only two people in the world who know the true meaning of the mask. The shape of it relates to superhero themes and hidden identities, but the elements of the mask have specific meanings that I don’t reveal. All art should be open to interpretation. If there’s a mystery and you can’t find out the answer, it remains intriguing. Once the answer is revealed, it loses interest and people move on. How do you actually execute these massive murals. Could you walk me through the process, from the idea to the final execution? I like to work in environments where I can adapt the building to the art or vice versa, using architectural elements to inform my design. However, those projects are quite difficult to find. In terms of concepting, I prefer not to plan before arriving at the location because I want the environment and light to influence what I'm creating. In terms of execution, different artists have their methods, but I use a technique called the squiggle method. I learned it from an Australian artist named RONE, who suggested it would really help improve my work. The squiggle method involves painting random lines, smiley faces, letters, and numbers all over the wall, then taking a photograph. I import that image into Photoshop or another app and overlay the image I want to paint, using those chaotic lines as a sort of distorted grid to map out where, in my case, the portrait will go. When working on a 200-foot tall wall, you can't guarantee that your lines will remain parallel or horizontal. By using the squiggle grid, I can reference features like a nose, knowing its relationship to nearby elements. For example, I can pinpoint where the nostril goes because it aligns with a specific mark. If I had a traditional grid, the entire nose might fit within one square, but I wouldn't have anything to connect the nostrils to smaller features. This method is clever and works perfectly every time. What's the largest mural you've done to date? I think the largest was a portrait of Frida Kahlo that I painted in Guadalajara, probably in 2018 or 2019. It's about 200 feet tall. What I love about it is that when you photograph the wall and cut out the background - like the buildings and skyline - it looks like it could be a piece on canvas. What motivates you to create such large-scale outdoor murals? The notion of large scale is secondary. When I started, I was painting small pieces in London; it’s about presenting your work differently than in a gallery. Many people feel uncomfortable in galleries and museums, often thinking they must buy something if they go. When you present art publicly, you’re open to the public's reactions, which can be good or bad. You have to accept that. I enjoy being out in public. I spent a lot of the last four years doing studio work, and while I don’t miss painting, I definitely miss traveling. Painting murals allowed me to travel to New Zealand, Australia, the US, and Japan, places where culturally you're going to find something different, however extreme that difference would be. You're also going to meet people who have different sensibilities to you because every single person who grows up in a country somehow has their personality morphed or molded by the country that they live in. What seems normal in England might not be the same in America. With street art, every artist has the same opportunity to showcase their work. For many it’s just about overcoming the fear of putting their art on the wall and the potential for negative reactions. A post shared by Fin DAC (@findac) What are your thoughts on the emergence of AI in the art world? For me, AI is just a tool. Some people will embrace it, others won't. Some claim it’s the end of the world for art, while others don’t. In the film industry, they said special effects would ruin it, but look at the highest-grossing films since their introduction. I think we have bigger issues to worry about in terms of AI, like warfare and global impacts. I’m neither for nor against AI; and I'm not concerned about its effect on my work. I have a specific brand, and while one might assume it could be easily replicated, I’m not worried. As an artist, if you’re not evolving, you’ll inevitably face copycats, whether they're using AI or not. It’s just the nature of art. What are you most proud of in your career so far? I've said this before - but just being an artist. I didn't start until I was 40 because I convinced myself that I had nothing to say or offer. You know, when you're growing up and you tell people you want to be an artist, the majority will say you need to get a real job. But what could be more real than doing something you love? Not only making money from it but also affecting people positively, hopefully. I had to overcome a lot of mental negativity. I had persuaded myself that I couldn't be an artist. The reason I became one was that I was in such a low place in my life that none of the negative chatter in my head mattered anymore. I wanted to paint just to get some form of calmness in my life. And it worked! HomEage, hosted by West Contemporary Art, is being held in at London’s St Martins Lane crypt gallery on 25 and 26 October."
